index,value
12688,202.8482702617529
12689,202.8430885869952
12690,202.83742076485703
12691,202.8356334442588
12692,202.82833629792356
12693,202.8156883780132
12694,202.80231669690255
12695,202.78890989491543
12696,202.7835433388047
12697,202.77496346324145
12698,202.76808559335765
12699,202.75883517787057
12700,202.74702460183937
12701,202.7612549766556
12702,202.7812304002138
12703,202.80347572731503
12704,202.8146572039736
12705,202.82030492475116
12706,202.82240893835376
12707,202.82555868512725
12708,202.82262160788747
12709,202.81387743707185
12710,202.80437826162964
12711,202.79992781599816
12712,202.7846935289058
12713,202.76015030435423
12714,202.7511624518237
12715,202.73936970288105
12716,202.7341133413691
12717,202.7308134928005
12718,202.7250608532573
12719,202.70909094701395
12720,202.6957347493033
12721,202.68511011499464
12722,202.67459207835068
12723,202.68381828746112
12724,202.68686502502112
12725,202.68281030086283
12726,202.67362759511616
12727,202.6793914064186
12728,202.68312999408585
12729,202.6743419848144
12730,202.666910727704
12731,202.67104091075072
12732,202.67699106795624
12733,202.6839792966873
12734,202.6967730268157
12735,202.69912704713036
12736,202.70584024073045
12737,202.72437806808068
12738,202.73286389713
12739,202.73271249992115
12740,202.7422773547232
12741,202.7389941896658
12742,202.7534278348533
12743,202.7683740238081
12744,202.7919906818073
12745,202.8088305323503
12746,202.8191387546897
12747,202.82538157026084
12748,202.84839102214423
12749,202.85491546403625
12750,202.86316667860277
12751,202.8804866279167
12752,202.89295018651828
12753,202.9098722270431
12754,202.93231235060597
12755,202.95790436292165
12756,202.9827340190024
12757,202.9748547849412
12758,202.95633890113595
12759,202.94885482457076
12760,202.95293694493245
12761,202.95906153526445
12762,202.96797431511632
12763,202.98599437813763
12764,202.99911758215927
12765,203.01329214736265
12766,203.02906430547608
12767,203.0443206265116
12768,203.05991447580584
12769,203.08092456743253
12770,203.09296050891103
12771,203.111656451698
12772,203.128861550444
12773,203.14118270667095
12774,203.17193645340703
12775,203.19916809411032
12776,203.21804433582423
12777,203.23458681236576
12778,203.2512836003975
12779,203.2753170584801
12780,203.29122851147335
12781,203.31030519633225
12782,203.32866980481643
12783,203.34799421818215
12784,203.36336477703108
12785,203.3732143705263
12786,203.38673537438407
12787,203.40314739760328
12788,203.4289530934521
12789,203.4504475600133
12790,203.4691563565488
12791,203.48687816196124
12792,203.5125117032056
12793,203.54823548602792
12794,203.58441609148804
12795,203.6103939588044
12796,203.6344208691179
12797,203.65675987307856
12798,203.6752005964775
12799,203.7020504945205
12800,203.72620637732476
12801,203.74973487342305
12802,203.78462996403556
12803,203.81732766037956
12804,203.8592669543288
12805,203.90040195557256
12806,203.93475646572196
12807,203.95993000670703
12808,203.98251151473227
12809,204.0001568991008
12810,204.0110712719489
12811,204.0244815610993
12812,204.0385918813891
12813,204.0622640116528
12814,204.09437546569688
12815,204.1286031807997
12816,204.1685480133764
12817,204.24366154178668
12818,204.27852778824396
12819,204.29806517120676
12820,204.3121573256228
12821,204.32929703103505
12822,204.35029210229573
12823,204.3733790431744
12824,204.39036866429012
12825,204.4154577834049
12826,204.44254246454787
12827,204.4737425761172
12828,204.5049955996534
12829,204.52208431095357
12830,204.538706472696
12831,204.5588857297636
12832,204.56851055861856
12833,204.57752764341305
12834,204.59945556368663
12835,204.6205608692425
12836,204.65872968260217
12837,204.69219933059048
12838,204.72945493360857
12839,204.76778890338983
12840,204.806862631958
12841,204.83428333085672
12842,204.87271913493092
12843,204.90729722279332
12844,204.93646927984656
12845,204.9696980194873
12846,204.9920844247761
13525,204.98871654483744
13526,204.95329069934624
13527,204.9177069120217
13528,204.87295579829976
13529,204.82746234675287
13530,204.77903966615617
13531,204.738542556787
13532,204.685292736488
13533,204.62929597674344
13534,204.57546242381989
13535,204.5319826654216
13536,204.51306126630857
13537,204.50181015935527
13538,204.48868058875047
13539,204.4860323083041
13540,204.4828719396383
13541,204.47361572380095
13542,204.46682026938572
13543,204.44566591330056
13544,204.434673013554
13545,204.41220658041595
13546,204.4070517892333
13547,204.39045651786645
